,mesh_sizes,times_microseconds_cuda,times_microseconds_parallel
0,50,696299,0
1,100,1486968,0
2,150,2800670,0
3,200,4811801,0
4,250,7464871,0
5,300,11257522,0
6,350,16398000,0
7,400,21870931,0
8,450,28345011,0
9,500,36727269,0
10,550,49126604,0
11,600,61024618,0
12,650,75466669,0
13,700,89510558,0
14,750,106009408,0
15,800,120409683,0
