,mesh_sizes,times_microseconds_cuda,times_microseconds_parallel
0,50,5007684,180755
1,100,5401168,769340
2,150,3028942,3027550
3,200,4472100,8783394
4,250,6516250,18703679
5,300,8890389,36138052
6,350,12426995,57065374
7,400,17290645,83833145
8,450,22319779,112995307
9,500,29000957,146737273
10,550,37113866,181947640
11,600,46220927,220491572
12,650,57247570,263082243
13,700,67721908,308465056
14,750,80350290,358222652
15,800,94879704,411452784
