,num_proc,times_microseconds,mesh_sizes
0,1,34682182,150
1,1,96927763,200
2,1,212164852,250
3,1,317291395,300
4,1,451315332,350
5,1,592343519,400
6,2,17374585,150
7,2,32989208,200
8,2,69197947,250
9,2,125668213,300
10,2,196823511,350
11,2,267396241,400
12,3,16870429,150
13,3,23343924,200
14,3,43579345,250
15,3,85769260,300
16,3,130380964,350
17,3,222527536,400
18,4,15610691,150
19,4,29610502,200
20,4,44327053,250
21,4,146825139,300
22,4,107855095,350
23,4,156864712,400
