,num_proc,times_microseconds,mesh_sizes
0,1,74661891,200
1,1,659467113,300
2,1,1242952311,400
3,2,80783859,200
4,2,294890721,300
5,2,554161887,400
6,3,69059712,200
7,3,173878696,300
8,3,376987512,400
9,4,61000474,200
10,4,116486317,300
11,4,204310320,400
12,5,52966424,200
13,5,84484029,300
14,5,197761320,400
15,6,78388587,200
16,6,112351588,300
17,6,203119304,400
18,7,74005082,200
19,7,98003436,300
20,7,161944642,400
21,8,73584018,200
22,8,85972990,300
23,8,160156759,400
